--- <out-dir-8>/server_R2cZ8_1.log
(APIServer pid=266188) INFO 09-12 04:59:46 [loggers.py:310] Engine 000: Avg prompt throughput: 2691.0 tokens/s, Avg generation throughput: 57.8 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 04:59:56 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 545.7 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:06 [loggers.py:310] Engine 000: Avg prompt throughput: 2582.7 tokens/s, Avg generation throughput: 179.0 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:16 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 476.3 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:26 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.2 tokens/s, Avg generation throughput: 260.6 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:36 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 382.4 tokens/s, Running: 22 reqs, Waiting: 34 reqs, GPU KV cache usage: 87.5%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:46 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.7 tokens/s, Avg generation throughput: 343.0 tokens/s, Running: 25 reqs, Waiting: 20 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:00:56 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 319.8 tokens/s, Running: 25 reqs, Waiting: 5 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:01:06 [loggers.py:310] Engine 000: Avg prompt throughput: 538.2 tokens/s, Avg generation throughput: 452.4 tokens/s, Running: 17 reqs, Waiting: 0 reqs, GPU KV cache usage: 67.6%, Prefix cache hit rate: 0.0%
(APIServer pid=266188) INFO 09-12 05:01:16 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 54.7 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
--- <out-dir-8>/server_R2cZ8_2.log
(APIServer pid=267358) INFO 09-12 04:59:39 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 04:59:49 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.7 tokens/s, Avg generation throughput: 285.9 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 04:59:59 [loggers.py:310] Engine 000: Avg prompt throughput: 1184.2 tokens/s, Avg generation throughput: 338.9 tokens/s, Running: 21 reqs, Waiting: 34 reqs, GPU KV cache usage: 86.0%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:09 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.0 tokens/s, Avg generation throughput: 402.8 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:19 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.4 tokens/s, Avg generation throughput: 231.3 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:29 [loggers.py:310] Engine 000: Avg prompt throughput: 645.8 tokens/s, Avg generation throughput: 511.1 tokens/s, Running: 23 reqs, Waiting: 36 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:39 [loggers.py:310] Engine 000: Avg prompt throughput: 2260.4 tokens/s, Avg generation throughput: 154.5 tokens/s, Running: 23 reqs, Waiting: 26 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:49 [loggers.py:310] Engine 000: Avg prompt throughput: 538.1 tokens/s, Avg generation throughput: 483.9 tokens/s, Running: 23 reqs, Waiting: 20 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:00:59 [loggers.py:310] Engine 000: Avg prompt throughput: 2368.1 tokens/s, Avg generation throughput: 207.6 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:01:09 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 455.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=267358) INFO 09-12 05:01:19 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 4 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
