--- <out-dir-7>/server_R2bZ_1.log
(APIServer pid=170213) INFO 09-11 16:54:34 [loggers.py:310] Engine 000: Avg prompt throughput: 3121.8 tokens/s, Avg generation throughput: 7.5 tokens/s, Running: 36 reqs, Waiting: 18 reqs, GPU KV cache usage: 76.2%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:54:44 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.4 tokens/s, Avg generation throughput: 482.6 tokens/s, Running: 47 reqs, Waiting: 7 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:54:54 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 653.2 tokens/s, Running: 47 reqs, Waiting: 7 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:04 [loggers.py:310] Engine 000: Avg prompt throughput: 2367.7 tokens/s, Avg generation throughput: 62.9 tokens/s, Running: 40 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:14 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.7 tokens/s, Avg generation throughput: 261.4 tokens/s, Running: 47 reqs, Waiting: 7 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:24 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 653.2 tokens/s, Running: 47 reqs, Waiting: 7 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:34 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.9 tokens/s, Avg generation throughput: 319.9 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.6%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:44 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 273.0 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.6%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:55:54 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 50.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:56:04 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.9 tokens/s, Avg generation throughput: 4.0 tokens/s, Running: 27 reqs, Waiting: 33 reqs, GPU KV cache usage: 57.1%, Prefix cache hit rate: 0.0%
(APIServer pid=170213) INFO 09-11 16:56:14 [loggers.py:310] Engine 000: Avg prompt throughput: 2905.2 tokens/s, Avg generation throughput: 184.1 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
