--- <out-dir-7>/server_R2b_1.log
(APIServer pid=129829) INFO 09-11 13:23:29 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.8 tokens/s, Avg generation throughput: 2.4 tokens/s, Running: 22 reqs, Waiting: 26 reqs, GPU KV cache usage: 46.6%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:23:39 [loggers.py:310] Engine 000: Avg prompt throughput: 3443.6 tokens/s, Avg generation throughput: 201.0 tokens/s, Running: 47 reqs, Waiting: 1 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:23:49 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 653.1 tokens/s, Running: 47 reqs, Waiting: 1 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:23:59 [loggers.py:310] Engine 000: Avg prompt throughput: 968.9 tokens/s, Avg generation throughput: 344.4 tokens/s, Running: 34 reqs, Waiting: 0 reqs, GPU KV cache usage: 72.0%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:09 [loggers.py:310] Engine 000: Avg prompt throughput: 3768.0 tokens/s, Avg generation throughput: 18.3 tokens/s, Running: 47 reqs, Waiting: 1 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:19 [loggers.py:310] Engine 000: Avg prompt throughput: 323.0 tokens/s, Avg generation throughput: 634.4 tokens/s, Running: 47 reqs, Waiting: 1 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:29 [loggers.py:310] Engine 000: Avg prompt throughput: 215.5 tokens/s, Avg generation throughput: 557.2 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 4.2%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:39 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 44.0 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 4.2%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:49 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 2.5 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:24:59 [loggers.py:310] Engine 000: Avg prompt throughput: 2367.7 tokens/s, Avg generation throughput: 4.6 tokens/s, Running: 29 reqs, Waiting: 31 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
(APIServer pid=129829) INFO 09-11 13:25:09 [loggers.py:310] Engine 000: Avg prompt throughput: 2691.5 tokens/s, Avg generation throughput: 250.5 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
