--- <out-dir-7>/server_R2cZv_1.log
(APIServer pid=244585) INFO 09-11 21:15:26 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 31.8%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:15:36 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.0 tokens/s, Avg generation throughput: 315.3 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:15:46 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.5 tokens/s, Avg generation throughput: 337.6 tokens/s, Running: 22 reqs, Waiting: 33 reqs, GPU KV cache usage: 87.5%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:15:56 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.1 tokens/s, Avg generation throughput: 401.4 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:06 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.1 tokens/s, Avg generation throughput: 251.2 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:16 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 480.5 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:26 [loggers.py:310] Engine 000: Avg prompt throughput: 2260.6 tokens/s, Avg generation throughput: 191.3 tokens/s, Running: 24 reqs, Waiting: 24 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:36 [loggers.py:310] Engine 000: Avg prompt throughput: 645.8 tokens/s, Avg generation throughput: 493.3 tokens/s, Running: 25 reqs, Waiting: 18 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:46 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.4 tokens/s, Avg generation throughput: 238.2 tokens/s, Running: 20 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.5%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:16:56 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 362.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:17:06 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 25 reqs, GPU KV cache usage: 31.8%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:17:16 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.3 tokens/s, Avg generation throughput: 237.4 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:17:26 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.6 tokens/s, Avg generation throughput: 393.3 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:17:36 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.1 tokens/s, Avg generation throughput: 347.8 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=244585) INFO 09-11 21:17:46 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 296.2 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
